Feature,Importance
is_smoker,3.8242645263671875
bmi,3.5016684532165527
family_history,3.183414936065674
total_cholesterol,2.8737430572509766
age,2.859650135040283
bpm_meds,2.7127065658569336
heart_rate,2.7007863521575928
pandemic_period,2.2631263732910156
diagnosis_year,1.2667615413665771
days_since_diagnosis,1.264714002609253
marital_status_Married,0.7203147411346436
marital_status_Widowed,0.6859802007675171
occupation_Retired,0.6282998323440552
rural_area,0.6187721490859985
ethnicity_Afrocolombian,0.5830026865005493
has_gas,0.5570317506790161
marital_status_Divorced,0.5430443286895752
occupation_Unemployed,0.5080848336219788
has_internet,0.4947795271873474
sex_M,0.49242088198661804
socioeconomic_status_2,0.48118826746940613
ethnicity_Mestizo/White,0.4789557456970215
municipality_Armenia,0.47065281867980957
education_level_5,0.46514010429382324
education_level_4,0.46171092987060547
municipality_Pereira,0.4594518542289734
marital_status_Single,0.45887959003448486
education_level_1,0.4539216160774231
ethnicity_Other,0.44077664613723755
ethnicity_Indigenous,0.43427574634552
municipality_Dosquebradas,0.43351784348487854
has_water_supply,0.4328154921531677
department_Caldas,0.4305764436721802
occupation_Employed,0.42934852838516235
municipality_Montenegro,0.4257417619228363
education_level_3,0.42496803402900696
education_level_7,0.4190276265144348
education_level_6,0.4177860617637634
municipality_Medellin,0.41739022731781006
education_level_8,0.4157809913158417
socioeconomic_status_4,0.41249585151672363
diagnosis_trimester_T3,0.40593039989471436
municipality_Filandia,0.4058219790458679
municipality_La Dorada,0.4003673195838928
education_level_10,0.3978632092475891
municipality_Chinchina,0.3971346914768219
department_Risaralda,0.3966625928878784
municipality_Villamaria,0.394029438495636
department_Quindio,0.3916358947753906
education_level_9,0.38642317056655884
municipality_La Ceja,0.3862362802028656
municipality_Barbosa,0.3831448554992676
municipality_La Tebaida,0.38148233294487
has_sewage,0.3801073133945465
municipality_Manizales,0.37896567583084106
education_level_2,0.3769572973251343
municipality_Itagui,0.37068337202072144
socioeconomic_status_3,0.3677345812320709
department_Antioquia,0.3650592565536499
sex_F,0.35982611775398254
diagnosis_trimester_T1,0.3485044240951538
municipality_Santa Rosa de Cabal,0.34791845083236694
diagnosis_trimester_T2,0.34758326411247253
diagnosis_month,0.34558427333831787
municipality_Quimbaya,0.3437897562980652
socioeconomic_status_1,0.3402482867240906
municipality_Envigado,0.33568471670150757
has_electricity,0.33361542224884033
glucose,0.33111512660980225
municipality_Palestina,0.32915616035461426
diabetes,0.31875473260879517
diagnosis_trimester_T4,0.3186565339565277
municipality_Bello,0.31823673844337463
municipality_Anserma,0.3107166290283203
municipality_Riosucio,0.29180657863616943
municipality_La Virginia,0.2897600531578064
municipality_Circasia,0.28016525506973267
municipality_Salamina,0.267880916595459
municipality_Rionegro,0.2666567265987396
municipality_Apia,0.25519660115242004
socioeconomic_status_5,0.2424074411392212
municipality_Belmonte,0.23830945789813995
municipality_Sabaneta,0.2197595089673996
socioeconomic_status_6,0.21049568057060242
